energy,energy_mean,energy_var,order,order_mean,order_var
-1.2,-1.28927,0.00273125,0.24,0.345946,0.00491672
-1.24,-1.28908,0.00272813,0.26,0.345615,0.00492279
-1.28,-1.28904,0.00271802,0.24,0.34521,0.00494152
-1.28,-1.28901,0.00270772,0.24,0.344809,0.00495983
-1.28,-1.28897,0.00269776,0.24,0.34441,0.00497772
-1.28,-1.28894,0.00268769,0.24,0.344015,0.0049952
-1.28,-1.28891,0.00267778,0.24,0.343622,0.00501225
-1.3,-1.28895,0.00266795,0.22,0.343158,0.00504398
-1.3,-1.28899,0.00265847,0.24,0.342771,0.00506015
-1.3,-1.28903,0.00264895,0.24,0.342388,0.00507593
-1.3,-1.28907,0.00263942,0.24,0.342007,0.00509134
-1.3,-1.28911,0.00263014,0.22,0.341555,0.00512102
-1.32,-1.28922,0.0026231,0.24,0.341181,0.00513559
-1.32,-1.28934,0.00261593,0.26,0.340882,0.005138
-1.32,-1.28945,0.00260908,0.26,0.340586,0.00514021
-1.32,-1.28956,0.0026021,0.24,0.340219,0.00515395
-1.36,-1.28982,0.00260659,0.26,0.339927,0.00515574
-1.36,-1.29007,0.0026112,0.26,0.339637,0.00515739
-1.38,-1.2904,0.00262426,0.28,0.339422,0.00515001
-1.34,-1.29058,0.00262183,0.26,0.339136,0.00515142
-1.32,-1.29068,0.00261479,0.24,0.338781,0.00516394
-1.32,-1.29079,0.00260765,0.24,0.338428,0.00517615
-1.32,-1.29089,0.00260081,0.24,0.338078,0.00518806
-1.28,-1.29085,0.00259184,0.26,0.337801,0.00518865
-1.28,-1.29081,0.00258285,0.24,0.337456,0.00520003
-1.28,-1.29077,0.00257424,0.24,0.337112,0.00521115
-1.28,-1.29074,0.00256545,0.24,0.336772,0.00522197
-1.28,-1.2907,0.00255672,0.26,0.336503,0.00522182
-1.28,-1.29066,0.0025482,0.28,0.336306,0.00521336
-1.28,-1.29062,0.00253956,0.3,0.33618,0.00519921
-1.26,-1.29052,0.00253326,0.28,0.335986,0.00519078
-1.26,-1.29041,0.00252683,0.26,0.335724,0.00519038
-1.24,-1.29024,0.00252507,0.24,0.335395,0.00520024
-1.24,-1.29007,0.00252323,0.26,0.335137,0.0051995
-1.24,-1.2899,0.0025211,0.26,0.33488,0.0051987
-1.24,-1.28973,0.00251914,0.28,0.334694,0.00518999
-1.24,-1.28956,0.00251736,0.28,0.334508,0.00518128
-1.24,-1.28939,0.00251519,0.28,0.334324,0.00517257
-1.24,-1.28923,0.00251328,0.3,0.334209,0.00515857
-1.28,-1.28919,0.00250483,0.32,0.334161,0.00514181
-1.3,-1.28923,0.00249705,0.34,0.33418,0.00512466
-1.3,-1.28927,0.00248908,0.32,0.334133,0.00510813
-1.3,-1.2893,0.00248109,0.32,0.334086,0.00509168
-1.28,-1.28927,0.00247292,0.34,0.334106,0.00507487
-1.28,-1.28924,0.00246502,0.34,0.334125,0.00505817
-1.28,-1.28921,0.00245711,0.32,0.334079,0.00504206
-1.3,-1.28925,0.0024495,0.3,0.333967,0.00502883
-1.3,-1.28928,0.00244171,0.3,0.333856,0.00501566
-1.3,-1.28932,0.0024342,0.3,0.333746,0.00500255
-1.3,-1.28935,0.00242671,0.3,0.333636,0.00498951
-1.32,-1.28945,0.00242126,0.32,0.333592,0.00497385
-1.32,-1.28955,0.00241569,0.32,0.333548,0.00495828
-1.32,-1.28965,0.00241015,0.32,0.333505,0.00494281
-1.28,-1.28961,0.00240287,0.3,0.333397,0.00493008
-1.26,-1.28952,0.0023973,0.28,0.333227,0.00492232
-1.24,-1.28936,0.00239575,0.26,0.332993,0.00492164
-1.24,-1.28921,0.00239424,0.26,0.332762,0.00492088
-1.24,-1.28905,0.00239283,0.26,0.332531,0.00492002
-1.22,-1.28883,0.00239689,0.24,0.33224,0.00492825
-1.2,-1.28855,0.00240869,0.22,0.331887,0.00494762
-1.18,-1.28821,0.00242969,0.2,0.331473,0.00498012
-1.18,-1.28787,0.00245062,0.22,0.331125,0.00499874
-1.18,-1.28754,0.00247127,0.22,0.330779,0.00501703
-1.16,-1.28714,0.00250275,0.2,0.330372,0.00504822
-1.16,-1.28675,0.00253373,0.18,0.329907,0.00509424
-1.14,-1.2863,0.00257749,0.16,0.329383,0.00515699
-1.14,-1.28585,0.00262069,0.18,0.328923,0.0052016
-1.12,-1.28534,0.002678,0.16,0.328405,0.00526273
-1.1,-1.28477,0.0027516,0.18,0.327951,0.00530595
-1.1,-1.28421,0.00282374,0.16,0.327439,0.00536552
-1.1,-1.28365,0.00289545,0.14,0.326869,0.00544326
-1.12,-1.28315,0.00294958,0.16,0.326363,0.00550108
-1.12,-1.28266,0.00300316,0.18,0.325921,0.00554147
-1.12,-1.28217,0.00305605,0.2,0.325542,0.00556681
-1.14,-1.28174,0.00309388,0.18,0.325105,0.00560612
-1.16,-1.28138,0.00311875,0.2,0.32473,0.00563058
-1.18,-1.28107,0.00313337,0.22,0.324418,0.00564258
-1.2,-1.28083,0.0031391,0.2,0.324047,0.00566636
-1.2,-1.28059,0.00314454,0.18,0.32362,0.00570376
-1.2,-1.28035,0.00315006,0.2,0.323254,0.0057267
-1.2,-1.28012,0.00315542,0.18,0.322832,0.00576311
-1.22,-1.27994,0.00315443,0.2,0.32247,0.00578521
-1.22,-1.27977,0.00315318,0.2,0.322111,0.00580697
-1.22,-1.27959,0.00315195,0.2,0.321754,0.00582839
-1.24,-1.27947,0.00314646,0.22,0.321458,0.00583794
-1.24,-1.27936,0.00314062,0.22,0.321163,0.00584728
-1.24,-1.27925,0.00313522,0.2,0.320811,0.00586781
-1.24,-1.27913,0.00312955,0.2,0.320462,0.00588798
-1.24,-1.27902,0.00312403,0.22,0.320173,0.00589659
-1.24,-1.27891,0.0031184,0.24,0.319942,0.00589589
-1.24,-1.2788,0.00311295,0.24,0.319713,0.00589508
-1.28,-1.2788,0.00310383,0.26,0.319543,0.00588718
-1.28,-1.2788,0.00309491,0.26,0.319373,0.00587925
-1.28,-1.27881,0.00308624,0.26,0.319204,0.00587132
-1.28,-1.27881,0.00307744,0.26,0.319037,0.00586339
-1.28,-1.27881,0.00306849,0.28,0.318926,0.00585058
-1.28,-1.27882,0.00305985,0.26,0.31876,0.00584267
-1.28,-1.27882,0.0030514,0.26,0.318595,0.00583475
-1.24,-1.27871,0.00304603,0.24,0.318375,0.00583363
-1.24,-1.2786,0.00304065,0.24,0.318156,0.00583241
-1.24,-1.2785,0.00303541,0.22,0.317883,0.00583977
-1.2,-1.27828,0.00304015,0.2,0.317555,0.00585753
-1.2,-1.27806,0.00304497,0.18,0.317174,0.00588744
-1.2,-1.27784,0.00304966,0.18,0.316795,0.00591695
-1.2,-1.27763,0.00305389,0.16,0.316363,0.00596031
-1.18,-1.27736,0.00306574,0.18,0.315989,0.00598891
-1.16,-1.27704,0.00308664,0.16,0.315561,0.00603121
-1.18,-1.27678,0.00309824,0.14,0.315082,0.0060889
-1.18,-1.27651,0.00310952,0.16,0.314659,0.00613002
-1.18,-1.27625,0.00312059,0.16,0.314239,0.0061706
-1.2,-1.27604,0.00312434,0.14,0.313767,0.00622634
-1.2,-1.27584,0.00312788,0.16,0.313351,0.00626579
-1.2,-1.27563,0.00313123,0.16,0.312938,0.00630471
-1.18,-1.27538,0.0031421,0.18,0.31258,0.0063296
