"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
2.29000,9.38530343e-01,2.19159282e-04,5.34347976e+02
2.30000,9.38535444e-01,2.19161898e-04,5.34354839e+02
2.31000,9.38540544e-01,2.19164514e-04,5.34361702e+02
2.32000,9.38545644e-01,2.19167130e-04,5.34368566e+02
2.33000,9.38550744e-01,2.19169746e-04,5.34375429e+02
2.34000,9.38555844e-01,2.19172362e-04,5.34382292e+02
2.35000,9.38560943e-01,2.19174978e-04,5.34389156e+02
2.36000,9.38566043e-01,2.19177593e-04,5.34396019e+02
2.37000,9.38571142e-01,2.19180209e-04,5.34402883e+02
2.38000,9.38576241e-01,2.19182825e-04,5.34409746e+02
2.39000,9.38581340e-01,2.19185440e-04,5.34416610e+02
2.40000,9.38586439e-01,2.19188056e-04,5.34423474e+02
2.41000,9.38591537e-01,2.19190672e-04,5.34430338e+02
2.42000,9.38596636e-01,2.19193287e-04,5.34437202e+02
2.43000,9.38601734e-01,2.19195903e-04,5.34444066e+02
2.44000,9.38606832e-01,2.19198518e-04,5.34450930e+02
2.45000,9.38611930e-01,2.19201133e-04,5.34457794e+02
2.46000,9.38617027e-01,2.19203749e-04,5.34464658e+02
2.47000,9.38622125e-01,2.19206364e-04,5.34471522e+02
2.48000,9.38627222e-01,2.19208979e-04,5.34478387e+02
2.49000,9.38632319e-01,2.19211594e-04,5.34485251e+02
2.50000,9.38637416e-01,2.19214210e-04,5.34492116e+02
2.51000,9.38642513e-01,2.19216825e-04,5.34498980e+02
2.52000,9.38647610e-01,2.19219440e-04,5.34505845e+02
2.53000,9.38652706e-01,2.19222055e-04,5.34512710e+02
2.54000,9.38657802e-01,2.19224670e-04,5.34519575e+02
2.55000,9.38662898e-01,2.19227285e-04,5.34526440e+02
2.56000,9.38667994e-01,2.19229900e-04,5.34533304e+02
2.57000,9.38673090e-01,2.19232515e-04,5.34540170e+02
2.58000,9.38678186e-01,2.19235129e-04,5.34547035e+02
2.59000,9.38683281e-01,2.19237744e-04,5.34553900e+02
2.60000,9.38688376e-01,2.19240359e-04,5.34560765e+02
2.61000,9.38693471e-01,2.19242974e-04,5.34567630e+02
2.62000,9.38698566e-01,2.19245588e-04,5.34574496e+02
2.63000,9.38703661e-01,2.19248203e-04,5.34581361e+02
2.64000,9.38708755e-01,2.19250818e-04,5.34588227e+02
2.65000,9.38713850e-01,2.19253432e-04,5.34595093e+02
2.66000,9.38718944e-01,2.19256047e-04,5.34601958e+02
2.67000,9.38724038e-01,2.19258661e-04,5.34608824e+02
2.68000,9.38729132e-01,2.19261275e-04,5.34615690e+02
2.69000,9.38734226e-01,2.19263890e-04,5.34622556e+02
2.70000,9.38739319e-01,2.19266504e-04,5.34629422e+02
2.71000,9.38744412e-01,2.19269118e-04,5.34636288e+02
2.72000,9.38749505e-01,2.19271733e-04,5.34643154e+02
2.73000,9.38754598e-01,2.19274347e-04,5.34650020e+02
2.74000,9.38759691e-01,2.19276961e-04,5.34656887e+02
2.75000,9.38764784e-01,2.19279575e-04,5.34663753e+02
2.76000,9.38769876e-01,2.19282189e-04,5.34670619e+02
2.77000,9.38774969e-01,2.19284803e-04,5.34677486e+02
2.78000,9.38780061e-01,2.19287417e-04,5.34684352e+02
2.79000,9.38785153e-01,2.19290031e-04,5.34691219e+02
2.80000,9.38790244e-01,2.19292645e-04,5.34698086e+02
2.81000,9.38795336e-01,2.19295259e-04,5.34704953e+02
2.82000,9.38800427e-01,2.19297872e-04,5.34711820e+02
2.83000,9.38805519e-01,2.19300486e-04,5.34718686e+02
2.84000,9.38810610e-01,2.19303100e-04,5.34725553e+02
2.85000,9.38815701e-01,2.19305714e-04,5.34732421e+02
2.86000,9.38820791e-01,2.19308327e-04,5.34739288e+02
2.87000,9.38825882e-01,2.19310941e-04,5.34746155e+02
2.88000,9.38830972e-01,2.19313554e-04,5.34753022e+02
2.89000,9.38836063e-01,2.19316168e-04,5.34759890e+02
2.90000,9.38841153e-01,2.19318781e-04,5.34766757e+02
2.91000,9.38846242e-01,2.19321395e-04,5.34773625e+02
2.92000,9.38851332e-01,2.19324008e-04,5.34780492e+02
2.93000,9.38856422e-01,2.19326622e-04,5.34787360e+02
2.94000,9.38861511e-01,2.19329235e-04,5.34794228e+02
2.95000,9.38866600e-01,2.19331848e-04,5.34801096e+02
2.96000,9.38871689e-01,2.19334461e-04,5.34807964e+02
2.97000,9.38876778e-01,2.19337075e-04,5.34814832e+02
2.98000,9.38881867e-01,2.19339688e-04,5.34821700e+02
2.99000,9.38886955e-01,2.19342301e-04,5.34828568e+02
3.00000,9.38892043e-01,2.19344914e-04,5.34835436e+02
3.01000,9.38897131e-01,2.19347527e-04,5.34842304e+02
3.02000,9.38902219e-01,2.19350140e-04,5.34849173e+02
3.03000,9.38907307e-01,2.19352753e-04,5.34856041e+02
3.04000,9.38912395e-01,2.19355366e-04,5.34862909e+02
3.05000,9.38917482e-01,2.19357978e-04,5.34869778e+02
3.06000,9.38922569e-01,2.19360591e-04,5.34876647e+02
3.07000,9.38927656e-01,2.19363204e-04,5.34883515e+02
3.08000,9.38932743e-01,2.19365817e-04,5.34890384e+02
3.09000,9.38937830e-01,2.19368429e-04,5.34897253e+02
3.10000,9.38942917e-01,2.19371042e-04,5.34904122e+02
3.11000,9.38948003e-01,2.19373654e-04,5.34910991e+02
3.12000,9.38953089e-01,2.19376267e-04,5.34917860e+02
3.13000,9.38958175e-01,2.19378880e-04,5.34924729e+02
3.14000,9.38963261e-01,2.19381492e-04,5.34931599e+02
3.15000,9.38968347e-01,2.19384104e-04,5.34938468e+02
3.16000,9.38973433e-01,2.19386717e-04,5.34945337e+02
3.17000,9.38978518e-01,2.19389329e-04,5.34952207e+02
3.18000,9.38983603e-01,2.19391941e-04,5.34959076e+02
3.19000,9.38988688e-01,2.19394554e-04,5.34965946e+02
3.20000,9.38993773e-01,2.19397166e-04,5.34972815e+02
3.21000,9.38998858e-01,2.19399778e-04,5.34979685e+02
3.22000,9.39003942e-01,2.19402390e-04,5.34986555e+02
3.23000,9.39009026e-01,2.19405002e-04,5.34993425e+02
3.24000,9.39014111e-01,2.19407614e-04,5.35000295e+02
3.25000,9.39019195e-01,2.19410226e-04,5.35007165e+02
3.26000,9.39024278e-01,2.19412838e-04,5.35014035e+02
3.27000,9.39029362e-01,2.19415450e-04,5.35020905e+02
3.28000,9.39034445e-01,2.19418062e-04,5.35027775e+02
3.29000,9.39039529e-01,2.19420674e-04,5.35034646e+02
3.30000,9.39044612e-01,2.19423285e-04,5.35041516e+02
3.31000,9.39049695e-01,2.19425897e-04,5.35048387e+02
3.32000,9.39054778e-01,2.19428509e-04,5.35055257e+02
3.33000,9.39059860e-01,2.19431120e-04,5.35062128e+02
3.34000,9.39064943e-01,2.19433732e-04,5.35068998e+02
3.35000,9.39070025e-01,2.19436344e-04,5.35075869e+02
3.36000,9.39075107e-01,2.19438955e-04,5.35082740e+02
3.37000,9.39080189e-01,2.19441567e-04,5.35089611e+02
3.38000,9.39085271e-01,2.19444178e-04,5.35096482e+02
